ds,y_true,y_pred,error,residual
2025-09-22 19:00:00,1.17877,0.0,1.17877,1.17877
2025-09-24 21:00:00,1.17362,0.0,1.17362,1.17362
2025-09-26 23:00:00,1.17013,0.0,1.17013,1.17013
2025-10-01 01:00:00,1.17337,0.0,1.17337,1.17337
2025-10-03 03:00:00,1.17238,0.0,1.17238,1.17238
2025-10-07 05:00:00,1.17011,0.0,1.17011,1.17011
2025-10-09 07:00:00,1.16452,0.0,1.16452,1.16452
2025-10-13 09:00:00,1.16135,0.0,1.16135,1.16135
2025-10-15 11:00:00,1.16321,0.0,1.16321,1.16321
2025-10-17 13:00:00,1.16892,0.0,1.16892,1.16892
2025-10-21 15:00:00,1.16106,0.0,1.16106,1.16106
2025-10-23 17:00:00,1.16127,0.0,1.16127,1.16127
2025-10-27 19:00:00,1.16376,0.0,1.16376,1.16376
2025-10-29 21:00:00,1.15989,0.0,1.15989,1.15989
