ds,y_true,y_pred,error,residual
2023-02-28,1.05737,0.0,1.05737,1.05737
2023-05-09,1.0959699999999999,0.0,1.0959699999999999,1.0959699999999999
2023-07-18,1.12275,0.0,1.12275,1.12275
2023-09-26,1.0570599999999999,0.0,1.0570599999999999,1.0570599999999999
2023-12-05,1.07974,0.0,1.07974,1.07974
2024-02-15,1.07728,0.0,1.07728,1.07728
2024-04-25,1.07297,0.0,1.07297,1.07297
2024-07-04,1.0811,0.0,1.0811,1.0811
2024-09-12,1.10726,0.0,1.10726,1.10726
2024-11-21,1.0472,0.0,1.0472,1.0472
2025-02-03,1.03342,0.0,1.03342,1.03342
2025-04-14,1.13503,0.0,1.13503,1.13503
2025-06-23,1.15777,0.0,1.15777,1.15777
2025-09-01,1.17117,0.0,1.17117,1.17117
