Date,rv_true,garch_rv,har_rv
2023-10-20,4.79768236289763e-06,1.7844831447808657e-05,1.4069629480366251e-05
2023-10-23,3.638202160673203e-05,1.7085012488828626e-05,1.2432424394763382e-05
2023-10-24,3.9412733338129284e-05,1.876766467614974e-05,1.5595980846409724e-05
2023-10-25,5.490416715516641e-06,2.05987272474561e-05,1.7865422005859856e-05
2023-10-26,7.318783451030527e-06,1.9781764603464828e-05,1.5822033547922302e-05
2023-10-27,1.2260221704454001e-05,1.8793553103752765e-05,1.4878328531474165e-05
2023-10-30,1.9533629154757732e-05,1.788144468777911e-05,1.5431255820206542e-05
2023-10-31,4.389029603056683e-05,1.8154018017836344e-05,1.4465982182475453e-05
2023-11-01,1.3571594717054142e-05,1.7973075780145944e-05,1.5727606113263048e-05
2023-11-02,3.18055948099266e-05,1.7115843958640848e-05,1.518957739284094e-05
2023-11-03,5.493054228563287e-05,1.7647548627552377e-05,1.76072786793887e-05
2023-11-06,4.9073289448949915e-06,2.188673564419546e-05,2.097908282852643e-05
2023-11-07,1.0685728696693998e-05,2.0793789334700245e-05,1.8521020875980728e-05
2023-11-08,1.011686486773611e-05,1.9865686772411632e-05,1.6585700522766613e-05
2023-11-09,1.3494439552227352e-05,1.8937932795754465e-05,1.6357950223604177e-05
2023-11-10,4.240797988035451e-06,1.8727673300024938e-05,1.5359664280645966e-05
2023-11-13,5.310585470394462e-06,1.7943954281857945e-05,1.0708022450038136e-05
2023-11-14,0.00011733543246054933,1.7196516715140076e-05,1.0403938649214524e-05
2023-11-15,8.724471664968424e-06,3.024283261832072e-05,2.1288492812238578e-05
2023-11-16,1.2915649757523984e-05,2.9025752311109768e-05,1.9363255223557004e-05
2023-11-17,2.4131243226058773e-05,2.7488244596425716e-05,1.9604494116124235e-05
2023-11-20,8.944390653204624e-06,2.760851905391416e-05,2.123299783226625e-05
2023-11-21,1.294876381675539e-05,2.6510046032533056e-05,2.0396206249161825e-05
2023-11-22,1.5124859134353054e-05,2.545963617555055e-05,1.4222280818649027e-05
2023-11-23,6.756049258109675e-06,2.4392767997228017e-05,1.4543203452029893e-05
2023-11-24,8.526768330152652e-06,2.3334783947267413e-05,1.3220043537563556e-05
2023-11-27,3.4827900078606225e-06,2.255996780273499e-05,1.2016647303511625e-05
2023-11-28,1.6632206815253934e-05,2.1632584641880178e-05,1.1097048478309316e-05
2023-11-29,9.637929755153356e-06,2.1258359002767173e-05,1.2129341868257504e-05
2023-11-30,3.315369393888495e-05,2.0473338399216416e-05,1.1243982018292713e-05
2023-12-01,2.1641331898539358e-05,2.204158593171129e-05,1.4000144910427743e-05
2023-12-04,2.521057695390851e-05,2.1011636761440843e-05,1.490575013510644e-05
2023-12-05,1.4859916297013858e-05,2.0800700671857466e-05,1.6335350419186525e-05
2023-12-06,6.509458032683879e-06,2.036176143341954e-05,1.523518118626965e-05
2023-12-07,1.1995244501319943e-05,1.9861274863861243e-05,1.46551449474649e-05
2023-12-08,1.856159637397816e-05,1.9385458236454144e-05,1.3623040597461284e-05
2023-12-11,4.334558463389978e-06,1.8906818808584918e-05,1.3742376480364653e-05
2023-12-12,1.535024862871521e-05,1.8033270358031262e-05,1.137383101109939e-05
2023-12-13,4.6942607874683734e-05,1.7619323569573623e-05,1.207307601754313e-05
2023-12-14,5.689690022854002e-05,1.9453081351148686e-05,1.6341364718936955e-05
2023-12-15,3.995509658988971e-05,2.3990227727399582e-05,1.7965668317708366e-05
2023-12-18,4.584474264595913e-06,2.649519406115855e-05,1.947826754591124e-05
2023-12-19,1.6562625176031913e-05,2.551595112560473e-05,1.792957670564407e-05
2023-12-20,8.377295037290983e-06,2.5586373556700586e-05,1.863251134543972e-05
2023-12-21,1.7760238918668604e-05,2.486869151790818e-05,1.631750132013156e-05
2023-12-22,8.769278084722039e-06,2.5639121659391372e-05,1.4472846305223625e-05
2023-12-26,3.930668083384843e-06,2.4367698752268787e-05,1.1709050695968893e-05
